FOOD COMMODITY GROUP;Food commodity ITEM;Water Footprint liters water/kg o liter of food ITEM;Uncertainty    low  (L)  high (H);Suggested WF value;Food commodity TYPOLOGY;Water Footprint cc water/g o cc of food TYPOLOGY;Food commodity sub-TYPOLOGY;Water Footprint cc water/g o cc of food sub-TYPOLOGY;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;PORK BONE FREE MEAT*;6299;L;item matching typology;PORK BONE FREE MEAT*;6299;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;PORK CUTS WITH BONE;5798;L;ok item;PORK MEAT WITH BONE;5677;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;PORK FAT;4323;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;PORK LIVER;684;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;PORK MEAT WITH BONE;4361;L;ok item;PORK MEAT WITH BONE;5677;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;PORK OFFAL;1254;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;POULTRY FAT;4323;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;RICOTTA;2470,5;L;ok item;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;SAUSAGES;15600;H;better typology;PORK CURED MEAT;6177;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;SHEEP BONE FREE MEAT*;8705;L;item matching typology;SHEEP BONE FREE MEAT*;8705;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;SHEEP CARCASSE WITH BONE;8310;L;ok item;SHEEP MEAT WITH BONE;8315;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;SHEEP CUTS WITH BONE;8320;L;ok item;SHEEP MEAT WITH BONE;8315;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;SHEEP OFFAL;3152;L;ok item;OFFAL, FAT, LIVER;3152;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;STRACCHINO;5600;H;better typology;CHEESE;5253;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;TURKEY BONE FREE MEAT;4325;L;ok item;POULTRY BONE FREE MEAT;4325;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;YOGURT FLAVORED;1659;H;better typology;YOGURT;1540;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;YOGURT WHITE;1540;L;ok item;YOGURT;1540;-;-;;;;;;;;;;;;;;;;;
ANIMAL HUSBANDRY;YOGURT WHITE LACTOSE FREE;1040;L;item or typology;YOGURT;1540;-;-;;;;;;;;;;;;;;;;;
CROPS;ALMOND SHELLED;16095;L;ok item;NUTS SHELLED;11264;-;-;;;;;;;;;;;;;;;;;
CROPS;ALMOND WITH SHELL;8047;L;ok item;NUTS WITH SHELL;4918;-;-;;;;;;;;;;;;;;;;;
CROPS;ANISE;8280;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;APPLE;622;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;APPLES;6847;L;ok item;DRIED FRUIT;2636;-;-;;;;;;;;;;;;;;;;;
CROPS;APRICOT;1287;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;ARECA NUT;11165;L;ok item;NUTS SHELLED;11264;-;-;;;;;;;;;;;;;;;;;
CROPS;ARTICHOKE;818;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;ASPARAGUS* ;2150;L;ok item;VEGETABLES;336;ASPARAGUS*;2150;;;;;;;;;;;;;;;;;
CROPS;AVOCADO;1805;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;BADIAN;8280;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;BANANA;500;H;better typology;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;BARLEY;1423;L;ok item;GRAINS;1618;-;-;;;;;;;;;;;;;;;;;
CROPS;BEAN;5053;L;ok item;LEGUMES DRIED;4615;-;-;;;;;;;;;;;;;;;;;
CROPS;BEAN (fresh);516;L;ok item;LEGUMES FRESH;555,5;-;-;;;;;;;;;;;;;;;;;
CROPS;BLACK TEA;8856;L;ok item;TEA;8856;-;-;;;;;;;;;;;;;;;;;
CROPS;BLACKBERRY;413;L;ok item;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;BLUEBERRY;845;L;ok item;FRUIT;748;WILD BERRIES;413;;;;;;;;;;;;;;;;;
CROPS;BRASSICAS;280;L;ok item;SEEDS;3087;-;-;;;;;;;;;;;;;;;;;
CROPS;BROCCOLI;325;H;better typology;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;BRUSSEL SPROUT;285;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;CABAGGE;280;L;ok item;VEGETABLES;336;GREEN LEAFY VEGETABLES;280;;;;;;;;;;;;;;;;;
CROPS;CAHSEW APPLE;3793;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
CROPS;CAHSEW NUT;14218;L;ok item;NUTS SHELLED;11264;-;-;;;;;;;;;;;;;;;;;
CROPS;CARDAMOM;34319;L;ok item;SPICIES;8280;-;-;;;;;;;;;;;;;;;;;
CROPS;CARROT;195;L;ok item;VEGETABLES;336;ROOTS & BULBS;272;;;;;;;;;;;;;;;;;
CROPS;CAULIFLOWER;285;L;ok item;VEGETABLES;336;VEGETABLES (fruits, steems, flowers);362;;;;;;;;;;;;;;;;;
CROPS;CHERRY SOUR;1411;L;ok item;FRUIT;748;FRUIT (excluded citrus, wild berries and olives);1506;;;;;;;;;;;;;;;;;
